index,load_actual,load_forecast,solar,wind,hour,dayofweek,month,load_lag_1,load_lag_24
2014-12-31 23:00:00+00:00,,,,,23,2,12,,
2015-01-01 00:00:00+00:00,5946.0,6701.0,,69.0,0,3,1,,
2015-01-01 01:00:00+00:00,5726.0,6593.0,,64.0,1,3,1,5946.0,
2015-01-01 02:00:00+00:00,5347.0,6482.0,,65.0,2,3,1,5726.0,
2015-01-01 03:00:00+00:00,5249.0,6454.0,,64.0,3,3,1,5347.0,
2015-01-01 04:00:00+00:00,5309.0,6609.0,,64.0,4,3,1,5249.0,
2015-01-01 05:00:00+00:00,5574.0,6543.0,,84.0,5,3,1,5309.0,
2015-01-01 06:00:00+00:00,5925.0,6851.0,,131.0,6,3,1,5574.0,
2015-01-01 07:00:00+00:00,6343.0,7061.0,2.0,109.0,7,3,1,5925.0,
2015-01-01 08:00:00+00:00,6882.0,7233.0,10.0,146.0,8,3,1,6343.0,
2015-01-01 09:00:00+00:00,6963.0,7451.0,21.0,146.0,9,3,1,6882.0,
2015-01-01 10:00:00+00:00,7110.0,7547.0,32.0,158.0,10,3,1,6963.0,
2015-01-01 11:00:00+00:00,7136.0,7454.0,37.0,187.0,11,3,1,7110.0,
2015-01-01 12:00:00+00:00,7013.0,7391.0,35.0,244.0,12,3,1,7136.0,
2015-01-01 13:00:00+00:00,6735.0,7316.0,27.0,299.0,13,3,1,7013.0,
2015-01-01 14:00:00+00:00,6543.0,7251.0,14.0,327.0,14,3,1,6735.0,
2015-01-01 15:00:00+00:00,6603.0,7476.0,3.0,346.0,15,3,1,6543.0,
2015-01-01 16:00:00+00:00,6735.0,7753.0,0.0,310.0,16,3,1,6603.0,
2015-01-01 17:00:00+00:00,6626.0,7701.0,0.0,205.0,17,3,1,6735.0,
2015-01-01 18:00:00+00:00,6738.0,7483.0,0.0,222.0,18,3,1,6626.0,
2015-01-01 19:00:00+00:00,6654.0,7222.0,0.0,251.0,19,3,1,6738.0,
2015-01-01 20:00:00+00:00,6255.0,6983.0,0.0,138.0,20,3,1,6654.0,
2015-01-01 21:00:00+00:00,6221.0,7064.0,0.0,92.0,21,3,1,6255.0,
2015-01-01 22:00:00+00:00,5864.0,6893.0,0.0,103.0,22,3,1,6221.0,
2015-01-01 23:00:00+00:00,5533.0,6524.0,0.0,106.0,23,3,1,5864.0,
2015-01-02 00:00:00+00:00,5205.0,6395.0,0.0,79.0,0,4,1,5533.0,5946.0
2015-01-02 01:00:00+00:00,4971.0,6359.0,0.0,126.0,1,4,1,5205.0,5726.0
2015-01-02 02:00:00+00:00,4669.0,6348.0,0.0,195.0,2,4,1,4971.0,5347.0
2015-01-02 03:00:00+00:00,4756.0,6431.0,0.0,225.0,3,4,1,4669.0,5249.0
2015-01-02 04:00:00+00:00,5080.0,6824.0,0.0,237.0,4,4,1,4756.0,5309.0
2015-01-02 05:00:00+00:00,5422.0,7321.0,0.0,211.0,5,4,1,5080.0,5574.0
2015-01-02 06:00:00+00:00,5856.0,8058.0,0.0,242.0,6,4,1,5422.0,5925.0
2015-01-02 07:00:00+00:00,6366.0,8281.0,3.0,302.0,7,4,1,5856.0,6343.0
2015-01-02 08:00:00+00:00,6431.0,8242.0,15.0,369.0,8,4,1,6366.0,6882.0
2015-01-02 09:00:00+00:00,6699.0,8240.0,33.0,413.0,9,4,1,6431.0,6963.0
2015-01-02 10:00:00+00:00,6543.0,8217.0,50.0,407.0,10,4,1,6699.0,7110.0
2015-01-02 11:00:00+00:00,6310.0,8017.0,58.0,424.0,11,4,1,6543.0,7136.0
2015-01-02 12:00:00+00:00,6257.0,7835.0,55.0,478.0,12,4,1,6310.0,7013.0
2015-01-02 13:00:00+00:00,6307.0,7789.0,41.0,520.0,13,4,1,6257.0,6735.0
2015-01-02 14:00:00+00:00,6502.0,7850.0,20.0,578.0,14,4,1,6307.0,6543.0
2015-01-02 15:00:00+00:00,6889.0,8165.0,4.0,553.0,15,4,1,6502.0,6603.0
2015-01-02 16:00:00+00:00,5972.0,8473.0,0.0,1048.0,16,4,1,6889.0,6735.0
2015-01-02 17:00:00+00:00,5892.0,8313.0,0.0,1498.0,17,4,1,5972.0,6626.0
2015-01-02 18:00:00+00:00,5807.0,7930.0,0.0,1615.0,18,4,1,5892.0,6738.0
2015-01-02 19:00:00+00:00,5313.0,7502.0,0.0,1702.0,19,4,1,5807.0,6654.0
2015-01-02 20:00:00+00:00,5379.0,7056.0,0.0,1637.0,20,4,1,5313.0,6255.0
2015-01-02 21:00:00+00:00,5325.0,7047.0,0.0,1512.0,21,4,1,5379.0,6221.0
2015-01-02 22:00:00+00:00,5145.0,6710.0,0.0,1407.0,22,4,1,5325.0,5864.0
2015-01-02 23:00:00+00:00,5827.0,6572.0,0.0,1373.0,23,4,1,5145.0,5533.0
2015-01-03 00:00:00+00:00,5779.0,6347.0,0.0,1350.0,0,5,1,5827.0,5205.0
2015-01-03 01:00:00+00:00,5467.0,6371.0,0.0,1304.0,1,5,1,5779.0,4971.0
2015-01-03 02:00:00+00:00,5201.0,6253.0,0.0,1241.0,2,5,1,5467.0,4669.0
2015-01-03 03:00:00+00:00,5244.0,6297.0,0.0,1146.0,3,5,1,5201.0,4756.0
2015-01-03 04:00:00+00:00,5405.0,6500.0,0.0,1423.0,4,5,1,5244.0,5080.0
2015-01-03 05:00:00+00:00,5402.0,6716.0,0.0,1366.0,5,5,1,5405.0,5422.0
2015-01-03 06:00:00+00:00,5553.0,6992.0,1.0,1323.0,6,5,1,5402.0,5856.0
